nama,kode_wilayah,id_level_wilayah,mst_kode_wilayah,induk_provinsi,kode_wilayah_induk_provinsi,induk_kabupaten,kode_wilayah_induk_kabupaten,kirim_total,sekolah_total,persen
Kab. Pemalang,032700  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Purbalingga,030300  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Purworejo,030600  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,3,3,100
Kab. Rembang,031700  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Semarang,032200  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,9,9,100
Kab. Sragen,031400  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,7,7,100
Kab. Sukoharjo,031100  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,7,7,100
Kab. Tegal,032800  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Temanggung,032300  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,1,1,100
Kab. Wonogiri,031200  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,9,9,100
Kab. Wonosobo,030700  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,3,3,100
Kota Magelang,036000  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,4,4,100
Kota Pekalongan,036400  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kota Salatiga,036200  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,7,7,100
Kota Semarang,036300  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,12,12,100
Kota Surakarta,036100  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,17,17,100
Kota Tegal,036500  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Banjarnegara,030400  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,3,3,100
Kab. Banyumas,030200  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,5,5,100
Kab. Batang,032500  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,1,1,100
Kab. Blora,031600  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,7,7,100
Kab. Boyolali,030900  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,11,11,100
Kab. Brebes,032900  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,2,2,100
Kab. Cilacap,030100  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,7,7,100
Kab. Demak,032100  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,1,1,100
Kab. Grobogan,031500  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,4,4,100
Kab. Jepara,032000  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,1,1,100
Kab. Kebumen,030500  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,6,6,100
Kab. Kendal,032400  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,6,6,100
Kab. Klaten,031000  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,14,14,100
Kab. Kudus,031900  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,5,5,100
Kab. Magelang,030800  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,3,3,100
Kab. Pati,031800  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,4,4,100
Kab. Karanganyar,031300  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,14,15,93
Kab. Pekalongan,032600  ,2,030000  ,Prov. Jawa Tengah,030000  ,,,1,2,50
