kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Boalemo,Kec. Paguyaman,SLB NEGERI PAGUYAMAN,44,17,0,1,2,0,0,2,4,0,9,19,1,3,1,1,6,4,9,5,60,39,3,2,4,2,7,7,7,5,3,4,4,3,2,2,6,3,0,0,26,28,4,189,112,77,12,12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12,12,0,0,0,0,0,0,0,0,1,1,0,0,14,14,,,,,,,,,,,,,,,,,,
Kab. Boalemo,Kec. Tilamuta,SLB NEGERI KABUPATEN BOALEMO,33,10,0,0,1,0,0,3,4,0,3,10,4,3,0,0,22,11,4,3,13,6,0,0,5,5,8,3,6,2,2,1,6,3,3,1,0,2,0,0,24,13,7,106,69,37,10,10,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Bonepantai,SLB Negeri Bonepantai,17,10,0,0,1,0,1,2,2,0,2,12,1,3,1,2,2,0,0,0,1,1,1,2,6,4,3,3,8,2,6,3,2,3,6,4,0,2,0,0,8,14,4,62,36,26,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Suwawa,SLB NEGERI BONE BOLANGO,30,12,0,0,1,0,0,1,0,0,4,12,2,4,6,2,5,3,6,5,4,3,8,2,4,2,5,3,5,2,6,1,3,1,1,1,1,2,0,0,29,16,6,81,54,27,12,12,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Gorontalo,Kec. Limboto Barat,Sentra PK-LK SLB Negeri Kabupaten Gorontalo,48,18,2,0,1,0,0,3,3,0,12,21,4,1,7,2,6,9,8,6,5,7,3,4,6,5,6,2,4,3,5,4,7,2,5,5,6,4,0,0,1,33,5,121,68,53,12,12,1,1,3,3,0,0,1,1,0,0,1,1,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Gorontalo Utara,Kec. Kwandang,SLB NEGERI GORONTALO UTARA,31,19,0,0,1,0,0,2,6,0,9,19,1,2,3,2,3,2,0,2,6,2,2,3,5,6,1,2,6,6,4,11,2,5,5,2,1,0,0,0,68,28,3,81,38,43,13,13,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,1,1,0,0,12,12,,,,,,,,,,,,,,,,,,
Kab. Pohuwato,Kec. Marisa,SLB Negeri Pohuwato,38,9,0,1,1,0,0,1,3,0,3,11,1,3,4,3,9,1,5,4,11,4,8,0,6,3,4,1,5,2,7,4,8,3,2,3,1,3,0,0,19,14,4,101,70,31,14,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Gorontalo,Kec. Dungingi,SLB NEGERI KOTA GORONTALO,54,30,4,4,3,0,4,14,6,2,10,40,2,5,9,9,15,9,14,10,15,6,11,13,11,12,13,11,17,15,12,14,12,10,8,4,8,5,0,0,24,50,7,263,145,118,24,24,1,1,1,1,0,0,1,1,4,4,1,1,1,1,15,15,0,0,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
