kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bulungan,Kec. Pulau Bunyu,SLB Negeri Bunyu,14,3,1,0,0,0,0,0,0,0,0,3,1,1,1,2,2,1,2,3,2,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,11,3,2,21,8,13,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Bulungan,Kec. Tanjung Selor,SLB NEGERI TANJUNG SELOR,44,12,1,1,1,0,1,1,5,0,2,16,8,4,11,5,10,3,6,0,11,1,6,3,7,2,9,5,6,4,6,6,5,1,6,4,5,1,0,0,5,18,12,123,88,35,24,24,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,8,2,2,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Bulungan,Kec. Tanjung Selor,SLB YAYASAN KARYA MURNI CABANG TANJUNG SELOR,5,2,0,0,0,0,0,0,0,0,0,3,0,1,3,3,5,1,0,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,20,13,7,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,6,3,3,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Malinau,Kec. Malinau Kota,SLB NEGERI MALINAU,53,10,0,0,1,0,0,1,4,0,8,8,4,3,1,3,17,3,6,4,15,5,11,4,6,3,14,2,7,4,7,1,5,5,7,3,2,2,0,0,9,16,7,137,98,39,10,20,1,1,0,0,0,0,1,1,1,1,0,0,1,1,12,12,1,1,0,0,0,0,1,1,1,1,0,0,15,18,,,,,,,,,,,,,,,,,,
Kab. Nunukan,Kec. Nunukan,SLB NEGERI NUNUKAN,21,8,0,1,1,0,1,1,3,0,5,7,9,3,6,0,6,3,7,3,4,5,7,1,5,4,4,4,9,2,7,3,4,1,3,2,0,0,0,0,7,12,12,90,62,28,11,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Tana Tidung,Kec. Sesayap,SLB NEGERI TANA TIDUNG,15,7,0,0,0,0,0,0,2,0,3,6,5,2,1,0,1,0,3,0,2,2,2,0,2,1,10,4,0,0,2,1,1,0,9,4,0,3,0,0,2,9,7,48,33,15,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kota Tarakan,Kec. Tarakan Utara,SLB NEGERI TARAKAN,34,23,1,1,0,0,0,1,5,1,11,24,6,6,13,7,8,4,18,9,14,9,11,17,17,14,17,9,19,6,11,12,11,6,14,4,10,5,0,0,16,35,12,270,165,105,16,16,1,1,0,0,0,0,1,1,1,1,0,0,1,1,8,8,0,0,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
