kabupaten/kota,kecamatan,sekolah,rombel,sekolah_id,npsn,bentuk_pendidikan,status_sekolah,akreditasi,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Nganjuk,Kec. Loceret,SLB KRIDA UTAMA 2 LOCERET,12,80C92E14-93FE-E111-8B29-B9195C4F5338,69727411,SLB,Swasta,B,7,0,0,2,0,0,0,1,0,2,6,0,1,18,7,7,6,8,3,5,7,6,0,4,0,5,3,9,4,8,2,7,4,1,1,2,5,0,0,5,8,1,122,80,42,11,11,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Nganjuk,SLB SHANTI KOSALA MASTRIP,25,9D76B555-C86C-45B5-ACEA-7E3E29F9A06C,20538329,SLB,Swasta,B,15,0,0,2,0,0,0,0,0,7,11,1,0,5,0,3,4,7,1,7,4,3,4,2,6,9,5,10,5,7,5,10,8,11,2,7,3,0,0,6,18,1,128,81,47,12,12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Ngronggot,SLB AL - KHARIQ,9,E0591F30-E10D-49DF-A661-68940E3F9C0B,69978385,SLB,Swasta,C,6,0,0,0,0,0,0,0,0,0,7,2,2,0,0,4,1,1,1,1,3,3,3,0,0,0,2,2,3,3,4,1,0,0,0,3,0,0,0,12,7,4,35,18,17,12,12,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Patianrowo,SLB Dharma Bakti Patianrowo,14,60C1A7C7-51C3-E211-A4D6-29421A6104B4,20549449,SLB,Swasta,B,12,0,0,1,0,0,1,1,0,2,13,1,0,3,0,0,1,3,1,6,1,2,1,3,0,4,3,3,2,2,1,4,1,3,3,2,2,0,0,14,15,1,54,38,16,6,6,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Prambon,SLB AL IKHLAS,13,4698D174-EEC3-4DAA-8A18-49F67BF1FBE1,70007597,SLB,Swasta,B,5,0,0,0,0,0,0,2,0,2,4,0,1,7,1,1,3,2,1,2,1,5,1,5,7,0,2,2,0,1,1,1,0,1,0,0,0,0,0,11,6,1,47,29,18,6,6,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Rejoso,SLB TUNAS MULIA REJOSO,14,70FA2E14-93FE-E111-A4A4-BFF7F614E415,69727418,SLB,Swasta,B,11,0,0,0,0,0,0,1,0,1,11,0,1,2,2,1,0,0,2,4,2,1,3,2,1,2,1,1,1,9,1,2,0,4,2,2,1,0,0,6,12,1,50,32,18,12,12,1,1,0,0,0,0,0,0,2,2,1,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Tanjunganom,SLB AL IKHSAN 2 BARON,9,8BCE9989-B927-4B8D-BAC3-4D55F19DD24A,20514050,SLB,Negeri,C,8,0,0,0,0,0,0,0,0,2,5,0,1,1,0,2,1,2,1,0,0,3,0,3,1,0,0,1,0,0,0,3,2,1,0,2,0,0,0,13,7,1,23,18,5,9,10,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0,1,1,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Tanjunganom,SLB Krida Utama 1 Tanjunganom,12,ACAD33AD-6933-41F7-93B2-57ABE8B4995A,20514050,SLB,Negeri,B,9,0,0,1,0,0,0,3,0,4,11,2,0,3,1,1,5,6,3,5,0,1,2,3,4,6,7,4,4,5,5,8,7,5,1,5,1,0,0,5,15,2,92,52,40,13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,
Kab. Nganjuk,Kec. Tanjunganom,SLB NEGERI SAMBIREJO NGANJUK,20,00E7B7B5-8C18-E111-8256-7F4CE7D38948,20514050,SLB,Negeri,B,20,0,0,0,0,0,0,0,0,6,15,2,0,4,1,5,3,2,1,4,1,2,1,0,4,4,5,1,4,2,2,1,4,1,1,2,1,0,0,10,21,2,56,28,28,6,6,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
Kab. Ngawi,Kec. Gerih,SLB BUNDA MULIA GERIH,7,6B653CA8-6FF8-4BC8-B2B8-F79E29F151FD,70053509,SLB,Swasta,Belum Akreditasi,1,0,1,0,0,0,0,0,0,0,2,0,1,2,0,3,2,0,1,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,2,1,16,11,5,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
