kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik,akreditasi
Kab. Banyuwangi,Kec. Genteng,SMALB PGRI GENTENG,3,3,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,3,6,2,0,0,3,1,1,22,13,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Genteng,SMPLB PGRI GENTENG,10,0,1,1,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,1,1,0,0,0,0,0,0,0,0,3,4,0,16,12,4,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Giri,SLB NEGERI BANYUWANGI,60,45,1,1,0,0,2,2,4,0,19,35,5,9,0,0,6,3,7,6,12,10,5,6,13,8,11,6,11,2,7,6,7,4,8,10,13,4,0,0,4,54,14,169,103,66,4,4,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,A
Kab. Banyuwangi,Kec. Glenmore,SDLB BHAKTI PERTIWI,6,5,0,0,0,0,0,0,0,0,1,4,1,0,3,0,4,1,1,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,19,14,5,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,C
Kab. Banyuwangi,Kec. Glenmore,TKLB BHAKTI PERTIWI,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,Belum Akreditasi
Kab. Banyuwangi,Kec. Kabat,SLB PGRI KABAT,11,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,1,1,2,1,0,3,0,3,2,0,2,0,0,1,0,1,0,1,1,0,0,3,0,1,23,14,9,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,C
Kab. Banyuwangi,Kec. Kalibaru,SLB BHAKTI PERTIWI KALIBARU,9,8,0,0,0,0,0,1,0,0,2,6,1,0,2,0,0,2,1,2,1,1,0,1,2,0,1,3,6,3,3,3,0,0,0,0,0,0,0,0,13,8,1,31,16,15,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,1,1,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,C
Kab. Banyuwangi,Kec. Kalibaru,SLB CAHAYA PUTIH,11,3,3,2,2,0,3,3,2,1,0,4,0,2,2,0,1,1,1,0,1,2,6,2,4,3,3,2,4,1,3,0,2,1,0,0,0,2,0,0,5,4,2,41,27,14,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,C
Kab. Banyuwangi,Kec. Kalipuro,SDLB ABCD PGRI KALIPURO,6,3,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,3,2,3,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,20,13,7,3,3,0,0,1,1,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Kalipuro,SMALB ABCD PGRI KALIPURO,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,0,0,0,6,0,3,21,13,8,10,10,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,B
