kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik,akreditasi
Kab. Banyuwangi,Kec. Singojuruh,SMPLB PGRI SINGOJURUH,7,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,0,2,0,0,0,0,0,0,0,0,5,3,0,14,7,7,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Srono,SLB BINA INSANI SRONO,12,5,0,0,0,0,0,0,0,0,0,4,1,0,1,1,2,0,1,0,4,0,0,2,2,4,0,1,1,2,1,1,0,0,1,0,0,0,0,0,6,4,1,26,13,13,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,C
Kab. Banyuwangi,Kec. Tegaldlimo,SDLB PGRI TEGALDLIMO,6,6,0,0,0,0,0,0,6,0,1,4,1,0,2,2,2,8,5,4,3,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,33,14,19,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Tegaldlimo,SMPLB PGRI TEGALDLIMO,3,3,0,0,0,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,13,2,1,0,0,0,0,0,0,0,0,7,3,1,24,10,14,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Wongsorejo,SDLB BINA INSANI,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,11,7,4,6,6,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Banyuwangi,Kec. Wongsorejo,SLB BINA INSANI,9,4,0,0,0,0,0,0,0,0,1,3,0,1,0,3,1,2,5,7,0,0,0,0,0,0,0,0,2,2,1,3,1,0,3,1,0,1,0,0,7,4,1,33,13,20,6,6,0,0,1,1,0,0,1,1,1,1,0,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Gandusari,SLB MUJI UTOMO,18,6,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,2,1,2,7,0,2,0,4,4,3,4,1,1,3,3,3,7,3,0,0,2,0,0,2,6,1,55,30,25,3,3,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,C
Kab. Blitar,Kec. Garum,SLB BUDI MULIA ,21,3,3,1,2,0,0,0,1,0,2,5,1,2,3,0,5,3,4,1,1,2,2,4,2,2,1,0,2,0,0,0,6,2,5,1,1,1,0,0,16,7,3,49,33,16,4,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Garum,SLB BUDI MULIA,21,3,3,1,2,0,0,0,1,0,2,5,1,2,3,0,5,3,4,1,1,2,2,4,2,2,1,0,2,0,0,0,6,2,5,1,1,1,0,0,16,7,3,49,33,16,4,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,
Kab. Blitar,Kec. Kademangan,SLB-ABC PUTRA HARAPAN,15,9,0,0,0,0,0,0,0,0,1,8,1,1,3,0,2,6,3,3,1,4,4,1,4,1,6,1,3,3,10,4,4,0,6,0,7,3,0,0,5,9,2,86,56,30,8,8,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Kanigoro,SLB TUNAS BANGSA,28,7,1,1,0,0,0,0,2,0,4,8,1,0,2,2,1,3,11,2,8,3,2,2,4,3,7,3,5,2,4,2,2,5,1,0,0,0,0,0,5,12,1,80,50,30,6,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,5,,,,,,,,,,,,,,,,,,,C
Kab. Blitar,Kec. Kesamben,SLB MARSUDI UTOMO KESAMBEN,19,11,0,0,0,0,0,0,0,0,2,8,1,1,3,1,0,1,3,1,8,3,2,2,6,0,1,6,5,1,11,3,3,5,7,4,3,4,0,0,15,10,2,83,52,31,7,8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Selopuro,SLB JATIWIRATAMA,12,5,0,0,0,0,0,0,0,0,1,4,1,0,1,0,1,4,3,0,2,0,3,1,1,1,3,1,6,3,0,1,4,0,1,2,1,1,0,0,7,5,1,40,26,14,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Srengat,SLB - B NGUDI HAYU,12,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,4,1,1,1,2,1,0,0,0,5,2,2,1,1,1,1,1,0,0,0,0,3,3,1,27,15,12,4,4,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Srengat,SLB-C.D NGUDI HAYU,19,7,0,0,1,0,0,0,0,0,3,5,0,1,3,1,2,2,5,3,2,3,2,3,1,2,4,5,4,5,3,4,5,2,1,3,8,4,0,0,5,8,1,77,40,37,6,6,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,A
