kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Boalemo,Kec. Paguyaman,SLB NEGERI PAGUYAMAN,46,18,0,1,1,0,0,2,4,0,9,18,1,3,6,3,9,5,60,39,2,2,4,2,5,7,7,6,3,4,4,3,2,2,6,4,6,0,0,0,23,27,4,191,114,77,12,12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12,12,0,0,0,0,0,0,0,0,1,1,0,0,14,14,,,,,,,,,,,,,,,,,,
Kab. Boalemo,Kec. Tilamuta,SLB NEGERI KABUPATEN BOALEMO,32,12,0,0,1,0,1,2,2,0,4,10,4,3,1,3,6,4,36,13,0,0,12,8,8,2,8,3,4,2,7,3,3,1,1,3,3,0,0,0,38,14,7,131,89,42,10,10,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Bonepantai,SLB Negeri Bonepantai,19,11,0,0,1,0,0,1,3,0,3,12,1,3,1,2,2,0,1,1,0,1,2,1,6,3,5,2,7,2,4,5,2,4,4,3,3,0,0,0,15,15,4,61,37,24,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Suwawa,SLB NEGERI BONE BOLANGO,26,12,5,5,1,0,8,2,7,6,5,12,3,4,6,3,5,4,5,2,8,3,4,2,4,1,6,2,6,2,3,1,0,1,3,3,4,3,0,0,56,17,7,81,54,27,12,12,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Gorontalo,Kec. Limboto Barat,Sentra PK-LK SLB Negeri Kabupaten Gorontalo,48,21,2,0,1,0,0,3,4,0,12,20,4,1,6,8,7,6,3,6,3,6,6,5,6,1,5,3,5,4,7,2,5,5,6,4,5,3,0,0,19,32,5,117,64,53,12,12,1,1,3,3,0,0,1,1,0,0,1,1,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Gorontalo Utara,Kec. Kwandang,SLB NEGERI GORONTALO UTARA,32,21,0,0,1,0,0,2,6,0,9,21,2,2,2,1,1,2,6,2,2,1,7,4,3,1,7,3,5,11,5,7,6,4,4,1,4,3,0,0,120,30,4,92,52,40,13,12,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,1,1,0,1,12,13,,,,,,,,,,,,,,,,,,
Kab. Pohuwato,Kec. Marisa,SLB Negeri Pohuwato,40,9,1,4,1,0,7,0,6,3,4,13,1,3,7,1,6,3,9,3,10,1,10,3,3,1,6,2,10,4,10,3,4,3,0,3,6,5,0,0,16,17,4,113,81,32,14,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Gorontalo,Kec. Dungingi,SLB NEGERI KOTA GORONTALO,62,21,21,21,4,0,21,6,9,19,13,46,2,5,14,9,13,10,13,6,13,12,12,12,10,12,18,15,12,14,10,12,12,9,11,5,9,12,0,0,39,59,7,275,147,128,24,24,1,1,1,1,0,0,1,1,4,4,1,1,1,1,15,15,0,0,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
