kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Barito Selatan,Kec. Dusun Selatan,SLB NEGERI I BUNTOK,12,12,0,0,1,0,0,1,10,1,4,10,3,4,2,0,1,1,1,0,2,2,1,0,2,1,2,0,2,3,4,2,1,3,6,0,3,3,0,0,47,14,7,42,27,15,13,13,1,1,0,0,1,1,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Barito Selatan,Kec. Dusun Selatan,SLB YPLB BUNTOK,11,6,0,0,0,0,0,0,4,0,1,5,2,0,2,0,2,0,8,1,3,1,3,4,1,1,2,2,3,2,2,1,2,0,2,1,0,0,0,0,8,6,2,43,30,13,13,13,2,2,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Barito Timur,Kec. Dusun Timur,SLB N TAMIANG LAYANG,13,13,0,0,0,0,1,0,4,0,1,14,4,1,4,0,6,3,7,4,3,1,3,0,2,1,5,3,3,3,1,1,4,0,0,1,1,2,0,0,54,15,5,58,39,19,13,13,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,
Kab. Barito Utara,Kec. Teweh Tengah,SLBN 1 MUARA TEWEH,22,16,1,1,0,0,0,2,6,0,2,21,2,4,2,0,5,1,5,2,2,1,2,1,4,1,3,3,6,6,5,3,3,1,4,0,2,4,0,0,34,23,6,74,47,27,26,26,1,1,0,0,0,0,0,0,2,2,1,1,1,1,12,12,0,0,0,0,1,1,1,1,1,1,0,0,11,11,,,,,,,,,,,,,,,,,,
Kab. Gunung Mas,Kec. Kurun,SLB NEGERI KUALA KURUN,7,3,0,0,1,0,0,1,1,0,1,3,3,4,0,0,5,1,0,0,0,0,3,4,1,2,0,0,4,1,1,3,0,0,5,3,1,1,0,0,12,4,7,35,20,15,7,7,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Kapuas,Kec. Selat,SLB NEGERI 1 KUALA KAPUAS,29,18,1,0,1,0,1,1,2,0,11,17,7,3,5,2,2,3,4,2,4,1,4,4,5,1,3,2,3,2,7,0,7,3,3,2,1,1,0,0,43,28,10,71,48,23,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Hilir,SLB NEGERI 1 KASONGAN,10,10,0,1,0,0,1,1,3,1,2,14,2,3,5,0,4,0,3,1,1,2,0,0,1,2,2,2,0,2,0,0,2,1,1,1,5,2,0,0,22,16,5,37,24,13,13,13,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Hilir,SLB NEGERI 2 KASONGAN,12,12,0,1,2,0,1,1,4,0,4,10,0,2,3,2,2,1,4,0,0,1,1,0,4,1,4,1,4,1,0,2,2,1,2,0,1,1,0,0,27,14,2,38,27,11,9,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,8,8,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Tengah,SLBN 3 KATINGAN,5,5,0,0,0,0,0,2,1,0,4,6,2,3,0,1,2,0,2,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,5,14,11,3,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Barat,Kec. Arut Selatan,SLBN 1 PANGKALAN BUN,16,13,1,0,0,0,0,0,5,0,1,15,2,1,2,4,8,7,4,4,2,3,4,5,6,4,6,4,3,1,8,3,5,5,6,2,3,5,0,0,29,16,3,104,57,47,16,16,1,1,0,0,0,0,1,1,1,1,1,1,0,0,7,7,2,1,0,0,0,0,1,1,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Barat,Kec. Arut Selatan,SLBN 2 PANGKALAN BUN,15,13,0,0,0,0,0,0,4,0,4,10,2,0,10,5,8,2,8,0,0,3,7,0,2,4,1,1,0,2,2,2,3,0,0,0,0,1,0,0,25,14,2,61,41,20,16,6,1,1,0,0,0,0,1,1,1,1,0,0,1,0,7,7,2,0,0,0,0,0,1,1,0,0,0,0,16,12,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Baamang,SEKOLAH KHUSUS MELATI CERIA,14,14,0,0,6,0,1,5,3,0,3,7,1,4,4,1,2,2,5,2,4,3,4,1,3,3,3,1,2,1,1,1,4,1,0,0,2,1,0,0,9,10,5,57,40,17,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Baamang,SKH KISARA,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Baamang,SLB NEGERI 1 SAMPIT,12,12,0,0,0,0,0,1,3,0,4,12,4,1,2,2,1,4,1,2,6,2,4,5,4,2,1,4,3,0,6,2,2,3,2,4,6,3,0,0,45,16,5,71,38,33,16,16,0,0,0,0,0,0,1,1,1,1,0,0,1,1,5,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Baamang,SLBN 2 SAMPIT,11,11,0,0,1,0,0,1,9,0,5,6,2,0,0,0,3,2,2,2,0,0,4,0,2,0,1,0,2,2,3,0,1,2,0,0,0,1,0,0,14,11,2,27,18,9,4,4,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Mentawa Baru Ketapang,SKH LENTERA NURANI,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,29,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Mentawa Baru Ketapang,SLBN 3 SAMPIT,15,10,0,0,0,0,0,0,0,0,4,5,1,3,8,1,2,3,6,2,5,0,1,0,4,2,1,2,0,2,2,0,2,0,1,0,1,3,0,0,18,9,4,52,35,17,9,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Timur,Kec. Parenggean,SLB SWASTA MELATI CERIA,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Lamandau,Kec. Bulik,SLB NEGERI 1 NANGA BULIK,12,10,0,0,0,0,0,0,3,0,2,10,4,0,3,1,4,1,3,1,2,1,1,1,5,1,2,4,0,3,3,2,1,0,1,0,0,1,0,0,31,12,4,41,25,16,12,12,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Lamandau,Kec. Bulik,SLB PEDULI KASIH,4,4,1,1,0,0,1,1,4,0,1,5,0,2,0,0,0,0,0,0,6,6,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,12,6,2,17,8,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Murung Raya,Kec. Laung Tuhup,SLB Laung Tuhup,11,7,0,0,0,0,0,0,0,0,1,6,2,0,1,1,1,1,2,1,2,0,1,2,2,3,4,1,0,1,1,0,1,0,6,4,0,0,0,0,18,7,2,35,21,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Murung Raya,Kec. Murung,SLBN Puruk Cahu,11,10,1,0,0,0,0,0,2,0,3,8,1,0,6,1,1,3,6,1,1,0,2,2,4,1,0,4,2,0,3,1,0,0,1,0,1,1,0,0,24,11,1,41,27,14,11,2,1,1,0,0,0,0,2,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,16,11,,,,,,,,,,,,,,,,,,
Kab. Pulang Pisau,Kec. Kahayan Hilir,SLB N 1 PULANG PISAU,12,12,0,0,0,0,0,1,4,0,7,9,2,4,4,2,0,3,3,2,5,4,4,2,5,0,1,3,2,1,2,2,1,1,3,5,3,4,0,0,59,16,6,62,33,29,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Seruyan,Kec. Seruyan Hilir,SLB NEGERI 1 KUALA PEMBUANG,12,10,0,0,0,0,0,1,2,0,3,9,3,2,5,4,1,1,5,1,4,2,3,3,1,1,0,3,3,0,2,1,1,0,1,0,1,0,0,0,11,12,5,43,27,16,12,12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,14,14,,,,,,,,,,,,,,,,,,
Kab. Sukamara,Kec. Sukamara,SLBN 1 SUKAMARA,6,5,0,0,1,0,0,0,0,0,5,3,1,0,2,0,0,0,3,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,5,2,0,0,10,8,1,18,15,3,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Bukit Batu,SLBN 3 PALANGKA RAYA,6,6,0,0,0,0,0,1,6,1,1,4,1,2,0,2,3,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,3,11,5,6,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Jekan Raya,SKH BINA TALENTA,1,1,0,0,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,6,4,2,4,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Jekan Raya,SKH MUTIARA ANANDA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,8,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Jekan Raya,SLB MELATI CERIA,18,10,0,0,0,0,0,0,0,0,4,6,2,0,3,0,10,2,6,0,3,1,6,1,8,2,2,0,2,0,6,0,0,0,0,0,0,0,0,0,97,10,2,64,58,6,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Jekan Raya,SLBN 1 PALANGKA RAYA,42,42,0,1,1,0,0,3,10,0,18,38,4,3,14,6,21,8,5,4,15,3,17,10,10,5,10,5,18,10,19,4,8,10,8,8,22,13,0,0,60,56,7,262,171,91,31,31,1,1,0,0,0,0,1,1,1,1,1,1,1,1,13,13,2,2,0,0,1,1,1,1,0,0,0,0,15,15,,,,,,,,,,,,,,,,,,
Kota Palangka Raya,Kec. Sabangau,SLB N 2 PALANGKA RAYA,25,19,1,1,2,0,0,1,1,0,3,21,3,2,4,1,4,1,4,4,7,4,4,3,5,2,5,4,3,2,7,3,9,1,2,3,3,4,0,0,42,24,5,90,58,32,15,15,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,1,1,1,1,0,0,0,0,19,19,,,,,,,,,,,,,,,,,,
