kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Boalemo,Kec. Paguyaman,SLB NEGERI PAGUYAMAN,42,18,0,1,2,0,1,2,2,0,9,19,1,3,2,2,2,1,2,3,5,6,25,16,3,2,3,0,7,6,6,5,3,4,3,2,2,2,0,0,8,28,4,112,63,49,12,12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12,12,0,0,0,0,0,0,0,0,1,1,0,0,14,14,,,,,,,,,,,,,,,,,,
Kab. Boalemo,Kec. Tilamuta,SLB NEGERI KABUPATEN BOALEMO,37,7,0,0,1,0,0,2,4,0,3,10,4,3,3,1,2,2,5,9,4,3,9,6,0,0,8,3,7,3,6,2,3,1,2,2,2,1,0,0,6,13,7,84,51,33,10,10,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Bonepantai,SLB Negeri Bonepantai,19,5,0,0,1,0,1,1,2,0,2,12,1,3,1,1,1,1,0,0,1,0,1,2,4,1,3,3,3,2,6,2,5,2,4,1,2,4,0,0,1,14,4,50,31,19,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone Bolango,Kec. Suwawa,SLB NEGERI BONE BOLANGO,27,9,1,0,1,0,0,1,0,0,4,12,2,4,1,0,7,5,4,4,6,4,3,3,6,2,3,2,5,3,4,2,4,1,1,1,1,1,0,0,7,16,6,73,45,28,12,12,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Gorontalo,Kec. Limboto Barat,Sentra PK-LK SLB Negeri Kabupaten Gorontalo,41,16,2,0,1,0,0,3,1,1,11,20,4,1,1,4,4,2,5,7,8,3,3,6,3,3,5,4,4,2,5,3,5,2,3,1,4,4,0,0,4,31,5,91,50,41,12,12,1,1,3,3,0,0,1,1,0,0,1,1,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Gorontalo Utara,Kec. Kwandang,SLB NEGERI GORONTALO UTARA,34,18,0,0,2,0,0,2,3,0,8,19,1,2,1,2,3,1,3,2,0,2,7,3,3,3,4,8,1,2,6,5,3,7,0,4,5,1,0,0,19,27,3,76,36,40,13,13,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,1,1,0,0,12,12,,,,,,,,,,,,,,,,,,
Kab. Pohuwato,Kec. Marisa,SLB Negeri Pohuwato,0,0,0,0,0,0,0,0,0,0,3,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,14,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Gorontalo,Kec. Dungingi,SLB NEGERI KOTA GORONTALO,59,29,1,0,4,0,0,4,3,0,9,39,2,5,20,6,9,7,16,9,15,10,16,6,12,12,11,11,13,11,14,14,8,13,11,8,8,3,0,0,7,48,7,263,153,110,24,24,1,1,1,1,0,0,1,1,4,4,1,1,1,1,15,15,0,0,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
